"SASUMMARY State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment"
"SASUMMARY State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment"
State or DC
GeoFips,GeoName,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
31000,Nebraska,1138369,1156816,1173756,1175112,1165998,1169210,1180188,1192187,1208036,1230968,1237394,1223251,1219855,1232536,1251331,1266360,1282738,1302877,1310927,1317730,1330415,1328396,1305658,1334512,1358642,1398244
32000,Nevada,1131237,1189071,1254358,1285310,1299544,1353124,1441158,1533726,1604488,1643873,1619016,1512925,1478082,1501861,1519210,1561287,1608537,1664654,1724751,1780614,1848890,1884199,1770765,1912664,2042787,2122456
33000,New Hampshire,743341,760763,783545,788168,788485,797649,812824,825602,835584,848007,844885,820826,813758,818810,824378,835032,844521,860652,873123,882481,892584,890078,858485,894657,919580,945323
34000,New Jersey,4500635,4571128,4748598,4777145,4791997,4825010,4909630,4991163,5057231,5130173,5123837,4992097,4960649,5018547,5053885,5133106,5206898,5303132,5391258,5448785,5550061,5571281,5319518,5585258,5874226,6036507
35000,New Mexico,937525,942297,964919,976506,984383,1003008,1027012,1050201,1079128,1103272,1105330,1071898,1059918,1064201,1067145,1075551,1083585,1092272,1092375,1095489,1110587,1116429,1068784,1091164,1129393,1165897
36000,New York,9901394,10164527,10424526,10438676,10348481,10377941,10513473,10654659,10810338,11083019,11197859,10984512,11005904,11294271,11433058,11619011,11865761,12099197,12259166,12391361,12655123,12745397,11871078,12226672,12780826,13172935
37000,North Carolina,4708195,4802414,4891957,4855476,4842001,4851941,4961645,5093058,5251529,5430916,5413522,5215727,5178397,5292804,5356134,5436745,5568600,5694917,5825267,5919022,6055657,6148775,6054094,6317582,6568490,6772766
38000,North Dakota,434930,435651,440643,445433,442530,443692,453079,461638,471131,482494,491887,492409,503803,529778,567381,586758,607113,597638,576701,573077,578397,581324,560280,567468,582032,598198
39000,Ohio,6599132,6681355,6789300,6725753,6640234,6620832,6666590,6709205,6747288,6794947,6725207,6454988,6418141,6521630,6605925,6681685,6771706,6862150,6931328,6987847,7067380,7071408,6852799,7048045,7219914,7396029
40000,Oklahoma,1938705,1953349,1994373,2009183,1987636,1971410,1998176,2043188,2096099,2150026,2186721,2136754,2130312,2159073,2211969,2249096,2273648,2287838,2287131,2291944,2312261,2309379,2265288,2311442,2382391,2455127
41000,Oregon,2021755,2051144,2092153,2079058,2062116,2076549,2132996,2196901,2256440,2307311,2288774,2189199,2174333,2201553,2219981,2260337,2323439,2391179,2450390,2515986,2570069,2579015,2492991,2558977,2620141,2692813
42000,Pennsylvania,6657699,6764360,6905286,6915464,6887062,6875775,6951757,7053584,7152610,7265012,7278574,7101513,7119718,7217043,7284595,7350212,7434632,7510339,7593722,7662469,7763488,7772024,7412005,7648692,7900283,8094606
44000,Rhode Island,554761,566528,582589,585235,588125,594099,602389,605726,611113,617961,608884,588270,586329,591668,592954,602374,613103,626983,633419,638851,648727,650999,615667,640210,665432,681452
45000,South Carolina,2191440,2240690,2279819,2256571,2248075,2263806,2305699,2356325,2418647,2482361,2472467,2367944,2357679,2427453,2453323,2500985,2564027,2636275,2700187,2759183,2843694,2882128,2824762,2937450,3049805,3149982
46000,South Dakota,490715,501684,512377,511664,509549,509653,518411,527756,538721,551970,561052,556495,558161,566491,574997,581234,589348,592644,597263,601254,610179,610159,605992,624995,640975,657014
47000,Tennessee,3339584,3397301,3459310,3421028,3408736,3433444,3507915,3572054,3643561,3702458,3677116,3523871,3515815,3589026,3635172,3689682,3772755,3859498,3951859,4033011,4120203,4168023,4119507,4298499,4480005,4613274
48000,Texas,11541749,11761409,12138771,12284685,12291965,12374943,12588075,13003916,13493483,14008293,14365985,14202860,14262584,14681517,15095946,15532152,16001898,16414554,16683280,17104407,17608884,17899918,17697051,18552126,19447935,20172008
49000,Utah,1309652,1338175,1380538,1391757,1395308,1405773,1453389,1517550,1592713,1676369,1688135,1633986,1620793,1664413,1706044,1753374,1803933,1865934,1933131,1995267,2069738,2102960,2135682,2249697,2342012,2416306
50000,Vermont,381006,389726,400963,403836,405648,406047,413086,417100,421001,425046,424280,414213,413335,416949,421870,424997,429010,432560,433791,435861,437661,433446,409231,421138,430889,442378
51000,Virginia,4167798,4261127,4399151,4417451,4421728,4467318,4587035,4700990,4781754,4869298,4870374,4758069,4743177,4802651,4856833,4898617,4953436,5060270,5156659,5229126,5299069,5329257,5224635,5392104,5551518,5720000
53000,Washington,3382924,3446900,3526778,3515729,3489176,3516324,3585288,3687833,3798218,3924866,3954871,3815623,3771422,3814269,3909118,3991747,4094370,4199164,4313722,4432271,4537842,4591912,4434976,4574714,4764618,4881542
54000,West Virginia,868370,868236,875561,872546,871215,868312,879273,890760,902913,915643,918376,899067,899510,909060,918958,914247,911678,904270,890209,888822,898085,881641,840976,864611,885312,903815
55000,Wisconsin,3287793,3350388,3413585,3403719,3395194,3413427,3467823,3511454,3547006,3585326,3572816,3444538,3426369,3474372,3499342,3539199,3585944,3624473,3657732,3678859,3721096,3717587,3580658,3682359,3775679,3855150
56000,Wyoming,310043,315198,324653,330130,334129,336769,343760,354384,370331,388463,398989,387490,385075,390340,396724,400510,406401,406045,398144,398968,404591,407870,401353,419813,430153,443007

Legend/Footnotes
"  Last updated: October 3, 2024."
