state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
36,005,0133,45201,2,40.8679,-73.87809,WGS84,Benzene,7,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2015,Parts per billion Carbon,No Events,60,100.0,Y,60,60,0,0,,,Certification not required,1.375,0.812951,3.9,2015-01-18 00:00,3.7,2015-01-12 00:00,3.2,2015-01-24 00:00,3.1,2015-11-26 00:00,,,,,3.9,3.7,3.2,2.9,1.7,1.1,0.6,PFIZER LAB SITE,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,New York,Bronx,New York,35620,"New York-Newark-Jersey City, NY-NJ-PA",2021-11-08
36,055,1007,45201,2,43.14618,-77.54817,WGS84,Benzene,7,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2015,Parts per billion Carbon,No Events,54,90.0,N,54,60,0,6,,,Certification not required,0.918519,0.547404,3.5,2015-02-05 00:00,2.1,2015-02-11 00:00,2.1,2015-03-01 00:00,1.9,2015-02-17 00:00,,,,,3.5,2.1,2.1,1.3,1.1,0.8,0.5,ROCHESTER 2,"2 YARMOUTH ROAD, RG&E Substation",New York,Monroe,Rochester,40380,"Rochester, NY",2021-11-08
36,029,1014,45201,2,42.99813,-78.89926,WGS84,Benzene,7,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2015,Parts per billion Carbon,No Events,58,97.0,Y,58,60,0,2,,,Certification not required,1.02931,0.464912,2.4,2015-11-02 00:00,2.2,2015-02-11 00:00,2.2,2015-03-01 00:00,2.0,2015-02-17 00:00,,,,,2.4,2.2,2.2,1.5,1.3,0.9,0.5,BROOKSIDE TERRACE,192 BROOKSIDE TERRACE WEST,New York,Erie,Tonawanda,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",2021-11-08
36,029,1013,45201,2,42.98844,-78.91859,WGS84,Benzene,7,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2015,Parts per billion Carbon,No Events,56,93.0,Y,56,60,0,4,,,Certification not required,1.748214,1.081244,4.9,2015-08-22 00:00,4.5,2015-01-24 00:00,4.3,2015-01-18 00:00,3.8,2015-11-02 00:00,,,,,4.9,4.5,4.3,3.6,2.4,1.4,0.7,GRAND ISLE BOULDVARD,520 GRAND ISLAND BLVD,New York,Erie,Tonawanda,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",2021-11-08
36,029,1013,45201,10,42.98844,-78.91859,WGS84,Benzene,7,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2015,Parts per billion Carbon,No Events,55,92.0,Y,55,60,0,5,,,Certification not required,1.703636,1.089846,5.5,2015-01-24 00:00,5.2,2015-08-22 00:00,3.9,2015-11-02 00:00,3.8,2015-02-11 00:00,,,,,5.5,5.2,3.9,3.1,2.0,1.4,0.7,GRAND ISLE BOULDVARD,520 GRAND ISLAND BLVD,New York,Erie,Tonawanda,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",2020-05-21
36,029,1013,45201,20,42.98844,-78.91859,WGS84,Benzene,7,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2015,Parts per billion Carbon,No Events,50,83.0,N,50,60,0,1,,,Certification not required,1.67,0.960283,4.5,2015-01-18 00:00,3.8,2015-11-02 00:00,3.7,2015-03-07 00:00,3.6,2015-02-11 00:00,,,,,4.5,4.5,3.7,3.2,2.0,1.4,0.7,GRAND ISLE BOULDVARD,520 GRAND ISLAND BLVD,New York,Erie,Tonawanda,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",2020-05-21
36,031,0003,45201,2,44.39308,-73.8589,WGS84,Benzene,7,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2015,Parts per billion Carbon,No Events,56,93.0,Y,56,60,0,4,,,Certification not required,0.453571,0.266263,1.1,2015-03-07 00:00,1.0,2015-01-12 00:00,1.0,2015-02-11 00:00,0.9,2015-01-30 00:00,,,,,1.1,1.0,1.0,0.9,0.6,0.4,0.2,WHITEFACE BASE,"Wilmington, BASE WHITEFACE MTN, ASRC, SUNY",New York,Essex,,,,2021-11-08
36,001,0013,45201,2,42.640931,-73.756511,WGS84,Benzene,7,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2015,Parts per billion Carbon,No Events,46,90.0,N,46,51,0,1,,,Certification not required,1.428261,0.792931,3.6,2015-10-21 00:00,3.5,2015-11-02 00:00,3.3,2015-12-08 00:00,3.1,2015-10-27 00:00,,,,,3.6,3.6,3.3,2.4,1.8,1.3,0.7,S. Pearl Street,"274 S Pearl St, Albany, NY 12202",New York,Albany,,10580,"Albany-Schenectady-Troy, NY",2021-11-08
36,101,0003,45201,2,42.09142,-77.20978,WGS84,Benzene,7,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2015,Parts per billion Carbon,No Events,30,50.0,N,30,60,0,30,,,Certification not required,0.683333,0.382445,1.4,2015-01-24 00:00,1.3,2015-01-12 00:00,1.3,2015-03-07 00:00,1.2,2015-02-11 00:00,,,,,1.4,1.4,1.3,1.3,1.0,0.6,0.3,PINNACLE STATE PARK,"8301 ACKERSON ROAD, Pinnacle State Park",New York,Steuben,,18500,"Corning, NY",2021-11-08
36,029,0005,45201,2,42.876907,-78.809526,WGS84,Benzene,7,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2016,Parts per billion Carbon,No Events,54,89.0,Y,54,61,0,7,,,Certification not required,0.881481,0.525599,3.6,2016-01-07 00:00,2.7,2016-11-08 00:00,1.5,2016-02-18 00:00,1.4,2016-11-14 00:00,,,,,3.6,2.7,1.5,1.2,0.9,0.8,0.5,BUFFALO,"TRAILER,185 DINGENS STREET (near WEISS ST.)",New York,Erie,Buffalo,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",2020-05-21
