CBSA,CBSA Code,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10
"Fond du Lac, WI",22540,2016,189,165,21,3,0,0,0,108,58,38,0,0,189,0,0
"Fort Collins, CO",22660,2016,366,162,196,7,1,0,0,151,87,51,0,0,284,81,1
"Fort Madison-Keokuk, IA-IL-MO",22800,2016,113,71,42,0,0,0,0,74,60,42,0,0,0,113,0
"Fort Payne, AL",22840,2016,348,282,65,1,0,0,0,119,56,41,0,0,293,55,0
"Fort Smith, AR-OK",22900,2016,361,303,58,0,0,0,0,74,53,38,0,58,215,84,4
"Fort Wayne, IN",23060,2016,366,185,178,3,0,0,0,119,67,50,0,3,104,259,0
"Fresno, CA",23420,2016,366,62,199,80,25,0,0,190,140,76,0,0,193,163,10
"Gadsden, AL",23460,2016,352,77,269,3,3,0,0,190,69,58,0,0,64,288,0
"Gaffney, SC",23500,2016,172,148,23,1,0,0,0,101,54,41,0,0,172,0,0
"Gainesville, FL",23540,2016,360,278,81,1,0,0,0,101,55,42,0,0,132,228,0
"Gainesville, GA",23580,2016,119,78,39,1,1,0,0,156,57,40,0,0,0,119,0
"Gardnerville Ranchos, NV",23820,2016,336,268,67,1,0,0,0,105,58,34,0,0,0,336,0
"Georgetown, SC",23860,2016,312,309,3,0,0,0,0,62,28,16,0,0,0,0,312
"Gettysburg, PA",23900,2016,366,239,122,5,0,0,0,119,69,44,0,0,242,124,0
"Gillette, WY",23940,2016,366,252,113,1,0,0,0,141,62,44,0,0,209,46,111
"Glenwood Springs, CO",24060,2016,366,263,102,1,0,0,0,126,67,47,0,0,363,3,0
"Grand Island, NE",24260,2016,113,102,11,0,0,0,0,59,49,29,0,0,0,113,0
"Grand Junction, CO",24300,2016,366,245,120,1,0,0,0,102,67,47,0,0,276,90,0
"Grand Rapids-Wyoming, MI",24340,2016,366,210,146,10,0,0,0,133,69,46,0,0,127,239,0
"Grants Pass, OR",24420,2016,366,286,80,0,0,0,0,87,59,38,0,0,0,366,0
"Great Falls, MT",24500,2016,356,319,37,0,0,0,0,75,51,33,0,0,0,356,0
"Greeley, CO",24540,2016,366,201,162,3,0,0,0,129,71,49,0,0,240,125,1
"Green Bay, WI",24580,2016,366,277,84,5,0,0,0,136,62,38,0,0,142,224,0
"Greenfield Town, MA",24640,2016,366,296,67,3,0,0,0,115,57,38,0,0,225,141,0
"Greensboro-High Point, NC",24660,2016,366,210,152,4,0,0,0,133,67,48,0,0,120,239,7
"Greenville, NC",24780,2016,288,206,82,0,0,0,0,100,60,42,0,0,117,171,0
"Greenville-Anderson-Mauldin, SC",24860,2016,366,179,180,5,1,1,0,203,67,51,0,2,170,194,0
"Greenwood, SC",24940,2016,311,285,26,0,0,0,0,87,49,39,0,0,311,0,0
"Grenada, MS",24980,2016,109,79,30,0,0,0,0,69,56,41,0,0,0,109,0
"Guayama, PR",25020,2016,102,85,17,0,0,0,0,73,58,28,0,0,0,101,1
"Gulfport-Biloxi-Pascagoula, MS",25060,2016,364,253,111,0,0,0,0,97,58,44,0,7,117,240,0
"Hagerstown-Martinsburg, MD-WV",25180,2016,355,202,149,4,0,0,0,112,67,48,0,0,133,222,0
"Hailey, ID",25200,2016,113,97,16,0,0,0,0,93,61,10,0,0,0,113,0
"Hammond, LA",25220,2016,117,97,20,0,0,0,0,65,53,37,0,0,0,117,0
"Hanford-Corcoran, CA",25260,2016,366,61,231,71,3,0,0,156,115,72,0,0,164,155,47
"Harrisburg-Carlisle, PA",25420,2016,366,146,214,6,0,0,0,116,71,53,0,0,101,265,0
"Harrison, AR",25460,2016,366,337,29,0,0,0,0,90,49,37,0,0,324,42,0
"Harrisonburg, VA",25500,2016,366,320,45,1,0,0,0,108,53,34,0,108,184,74,0
"Hartford-West Hartford-East Hartford, CT",25540,2016,366,197,153,14,2,0,0,187,75,49,0,27,138,201,0
"Hattiesburg, MS",25620,2016,336,212,124,0,0,0,0,74,58,46,0,0,0,336,0
"Helena, MT",25740,2016,366,281,78,7,0,0,0,146,58,42,0,0,228,138,0
"Hermiston-Pendleton, OR",25840,2016,366,297,68,1,0,0,0,112,58,35,0,0,132,234,0
"Hickory-Lenoir-Morganton, NC",25860,2016,366,192,171,1,2,0,0,154,64,49,0,0,108,257,1
"Hilo, HI",25900,2016,366,2,359,5,0,0,0,117,79,66,0,0,0,366,0
"Hobbs, NM",26020,2016,364,305,59,0,0,0,0,97,58,42,0,4,325,35,0
"Holland, MI",26090,2016,240,174,57,9,0,0,0,150,71,43,0,0,171,69,0
"Homosassa Springs, FL",26140,2016,343,213,129,1,0,0,0,104,56,45,0,0,0,343,0
"Hot Springs, AR",26300,2016,119,66,53,0,0,0,0,70,58,48,0,0,0,119,0
"Houghton, MI",26340,2016,120,118,2,0,0,0,0,55,33,12,0,0,0,120,0
"Houma-Thibodaux, LA",26380,2016,366,293,73,0,0,0,0,93,55,40,0,0,216,150,0
"Houston-The Woodlands-Sugar Land, TX",26420,2016,366,90,253,22,1,0,0,159,93,57,0,11,138,216,1
"Huntington, IN",26540,2016,180,156,23,1,0,0,0,105,64,37,0,0,180,0,0
"Huntington-Ashland, WV-KY-OH",26580,2016,366,161,202,3,0,0,0,129,66,52,0,0,64,302,0
"Huntsville, AL",26620,2016,333,258,74,1,0,0,0,122,57,42,0,0,212,58,63
"Idaho Falls, ID",26820,2016,366,286,79,1,0,0,0,108,55,42,0,0,239,127,0
"Indiana, PA",26860,2016,354,309,41,4,0,0,0,136,54,38,0,0,354,0,0
"Indianapolis-Carmel-Anderson, IN",26900,2016,366,101,253,12,0,0,0,143,79,55,0,0,79,286,1
"Iowa City, IA",26980,2016,366,236,130,0,0,0,0,100,58,44,0,0,0,366,0
"Ithaca, NY",27060,2016,361,331,28,2,0,0,0,122,48,36,0,0,361,0,0
"Jackson, MS",27140,2016,366,153,213,0,0,0,0,100,64,52,0,0,62,304,0
"Jackson, TN",27180,2016,115,88,27,0,0,0,0,63,53,37,0,0,0,115,0
"Jackson, WY-ID",27220,2016,366,324,42,0,0,0,0,99,52,42,0,0,339,27,0
"Jacksonville, FL",27260,2016,366,189,177,0,0,0,0,97,64,50,0,1,114,251,0
"Jamestown, ND",27420,2016,365,359,6,0,0,0,0,88,22,8,0,0,0,0,365
"Jamestown-Dunkirk-Fredonia, NY",27460,2016,363,315,45,3,0,0,0,140,54,37,0,0,340,23,0
"Janesville-Beloit, WI",27500,2016,187,159,23,5,0,0,0,119,61,39,0,0,187,0,0
"Jasper, IN",27540,2016,127,78,49,0,0,0,0,76,60,44,0,0,0,125,2
"Jefferson City, MO",27620,2016,214,200,13,1,0,0,0,101,49,38,0,0,214,0,0
"Johnstown, PA",27780,2016,366,211,155,0,0,0,0,97,68,46,1,5,155,204,1
"Joplin, MO",27900,2016,361,319,41,1,0,0,0,110,51,34,0,0,191,0,170
"Juneau, AK",27940,2016,305,224,81,0,0,0,0,90,63,27,0,0,0,297,8
"Kahului-Wailuku-Lahaina, HI",27980,2016,366,324,41,1,0,0,0,130,51,28,0,0,0,366,0
"Kalamazoo-Portage, MI",28020,2016,363,221,134,8,0,0,0,119,64,44,0,0,101,262,0
"Kalispell, MT",28060,2016,366,298,68,0,0,0,0,80,56,37,0,0,203,125,38
"Kansas City, MO-KS",28140,2016,366,153,206,7,0,0,0,129,71,52,0,5,110,243,8
"Kapaa, HI",28180,2016,358,352,6,0,0,0,0,59,36,17,0,46,0,312,0
"Keene, NH",28300,2016,366,290,75,1,0,0,0,105,58,37,0,0,252,114,0
"Kennewick-Richland, WA",28420,2016,366,307,57,2,0,0,0,122,55,35,0,0,124,225,17
"Killeen-Temple, TX",28660,2016,365,331,34,0,0,0,0,100,50,38,0,0,365,0,0
"Kingsport-Bristol-Bristol, TN-VA",28700,2016,325,246,76,3,0,0,0,127,61,42,2,43,214,66,0
"Kingsville, TX",28780,2016,153,109,44,0,0,0,0,93,58,37,0,0,0,153,0
"Kinston, NC",28820,2016,193,171,22,0,0,0,0,97,51,40,0,0,193,0,0
"Klamath Falls, OR",28900,2016,363,250,113,0,0,0,0,92,67,41,0,0,0,363,0
"Knoxville, TN",28940,2016,366,141,211,11,3,0,0,175,84,54,0,0,188,170,8
"Kokomo, IN",29020,2016,325,173,152,0,0,0,0,84,63,48,0,0,0,325,0
"La Crosse-Onalaska, WI-MN",29100,2016,355,288,67,0,0,0,0,87,57,37,0,0,149,206,0
"La Grande, OR",29260,2016,364,297,67,0,0,0,0,99,56,24,0,0,0,361,3
"Laconia, NH",29060,2016,257,230,27,0,0,0,0,84,51,35,0,0,177,80,0
"Lafayette, LA",29180,2016,366,241,125,0,0,0,0,97,62,46,0,0,206,160,0
"Lafayette-West Lafayette, IN",29200,2016,352,229,121,2,0,0,0,101,62,44,0,0,128,224,0
"Lake Charles, LA",29340,2016,366,126,239,1,0,0,0,112,66,53,0,0,44,322,0
"Lake City, FL",29380,2016,345,235,110,0,0,0,0,90,59,43,0,0,157,188,0
"Lake Havasu City-Kingman, AZ",29420,2016,357,334,23,0,0,0,0,83,42,19,0,0,0,53,304
"Lakeland-Winter Haven, FL",29460,2016,366,251,115,0,0,0,0,90,57,44,0,0,127,239,0
"Lancaster, PA",29540,2016,366,117,243,6,0,0,0,136,76,56,0,0,80,286,0
"Lansing-East Lansing, MI",29620,2016,366,233,126,7,0,0,0,126,64,43,0,0,154,212,0
"Laramie, WY",29660,2016,366,263,103,0,0,0,0,97,64,46,0,0,292,12,62
"Laredo, TX",29700,2016,366,222,144,0,0,0,0,97,65,46,0,0,58,307,1
"Las Cruces, NM",29740,2016,366,111,240,12,2,0,1,594,87,56,0,0,177,134,55
"Las Vegas-Henderson-Paradise, NV",29820,2016,366,79,261,25,0,1,0,268,93,61,0,11,187,162,6
"Lawrenceburg, TN",29980,2016,116,98,18,0,0,0,0,84,55,35,0,0,0,116,0
"Lawton, OK",30020,2016,366,271,95,0,0,0,0,90,58,43,0,0,216,150,0
"Lebanon, PA",30140,2016,366,95,264,7,0,0,0,122,71,55,0,0,65,301,0
"Lewiston, ID-WA",30300,2016,366,263,101,2,0,0,0,141,59,38,0,0,0,366,0
"Lewiston-Auburn, ME",30340,2016,358,297,61,0,0,0,0,82,54,35,0,0,143,212,3
"Lexington, NE",30420,2016,12,12,0,0,0,0,0,49,46,14,0,0,0,0,12
"Lexington-Fayette, KY",30460,2016,362,255,106,1,0,0,0,126,62,43,0,13,156,193,0
"Lima, OH",30620,2016,366,297,66,3,0,0,0,122,58,37,0,0,189,177,0
"Lincoln, NE",30700,2016,261,231,30,0,0,0,0,74,51,37,0,0,184,77,0
"Little Rock-North Little Rock-Conway, AR",30780,2016,366,172,194,0,0,0,0,100,64,52,0,3,97,266,0
"Logan, UT-ID",30860,2016,366,223,133,10,0,0,0,129,72,47,0,2,191,173,0
"Longview, TX",30980,2016,366,336,30,0,0,0,0,100,49,36,0,1,365,0,0
"Longview, WA",31020,2016,363,331,32,0,0,0,0,77,49,23,0,0,0,363,0
"Los Alamos, NM",31060,2016,119,119,0,0,0,0,0,32,21,11,0,0,0,119,0
"Los Angeles-Long Beach-Anaheim, CA",31080,2016,366,7,251,83,21,4,0,226,134,77,0,20,158,187,1
"Louisville/Jefferson County, KY-IN",31140,2016,366,112,235,18,1,0,0,151,84,55,0,3,103,260,0
"Lubbock, TX",31180,2016,119,115,4,0,0,0,0,59,43,28,0,0,0,119,0
"Ludington, MI",31220,2016,180,157,17,6,0,0,0,129,64,38,0,0,180,0,0
"Lynchburg, VA",31340,2016,120,96,24,0,0,0,0,65,54,38,0,0,0,120,0
"Macon, GA",31420,2016,366,184,177,5,0,0,0,147,66,50,0,0,77,289,0
"Madera, CA",31460,2016,366,91,225,47,3,0,0,156,105,63,0,0,187,167,12
"Madison, WI",31540,2016,361,246,112,3,0,0,0,108,64,42,0,0,142,218,1
"Malone, NY",31660,2016,360,359,1,0,0,0,0,51,37,21,0,162,198,0,0
"Manchester-Nashua, NH",31700,2016,366,324,39,3,0,0,0,108,52,37,0,0,331,35,0
"Manitowoc, WI",31820,2016,188,160,21,7,0,0,0,147,67,37,0,0,188,0,0
"Marietta, OH",31930,2016,214,189,25,0,0,0,0,90,54,40,0,0,214,0,0
"Marshall, MN",32140,2016,356,327,28,1,0,0,0,110,48,32,0,0,181,175,0
"Marshall, TX",32220,2016,366,265,101,0,0,0,0,79,56,42,0,0,143,223,0
"Mason City, IA",32380,2016,350,346,4,0,0,0,0,59,31,15,0,0,0,0,350
"McAlester, OK",32540,2016,366,258,108,0,0,0,0,85,59,43,0,0,181,185,0
"McAllen-Edinburg-Mission, TX",32580,2016,366,232,133,1,0,0,0,114,65,43,0,0,143,222,1
"Medford, OR",32780,2016,366,263,103,0,0,0,0,83,60,41,0,0,75,291,0
"Memphis, TN-MS-AR",32820,2016,366,193,165,7,1,0,0,159,68,49,0,4,136,226,0
"Merced, CA",32900,2016,366,115,216,33,2,0,0,151,100,58,0,0,178,186,2
"Meridian, MS",32940,2016,212,203,9,0,0,0,0,71,48,37,0,0,212,0,0
"Miami, OK",33060,2016,366,206,160,0,0,0,0,81,61,47,0,0,95,269,2
"Miami-Fort Lauderdale-West Palm Beach, FL",33100,2016,363,99,258,5,1,0,0,164,72,55,1,0,29,311,22
"Michigan City-La Porte, IN",33140,2016,244,185,57,2,0,0,0,112,62,39,0,0,156,88,0
"Middlesborough, KY",33180,2016,261,230,29,1,1,0,0,165,52,39,0,0,227,34,0
"Milwaukee-Waukesha-West Allis, WI",33340,2016,366,195,162,8,1,0,0,185,70,49,0,5,139,222,0
"Minneapolis-St. Paul-Bloomington, MN-WI",33460,2016,366,162,200,3,1,0,0,151,72,52,0,2,65,183,116
"Missoula, MT",33540,2016,366,72,269,25,0,0,0,139,96,58,0,0,3,363,0
"Mobile, AL",33660,2016,358,179,177,2,0,0,0,139,63,51,0,0,85,273,0
"Modesto, CA",33700,2016,366,102,221,40,3,0,0,164,103,59,0,0,163,202,1
"Monroe, LA",33740,2016,344,288,56,0,0,0,0,75,54,37,0,0,262,82,0
"Monroe, MI",33780,2016,120,79,41,0,0,0,0,72,58,41,0,0,0,120,0
"Montgomery, AL",33860,2016,363,193,168,1,1,0,0,176,61,48,0,0,109,254,0
"Montrose, CO",33940,2016,253,236,17,0,0,0,0,84,49,40,0,0,253,0,0
"Morehead City, NC",33980,2016,327,308,19,0,0,0,0,93,47,36,0,0,327,0,0
"Morgantown, WV",34060,2016,260,216,44,0,0,0,0,74,54,38,0,0,168,92,0
"Morristown, TN",34100,2016,239,158,79,2,0,0,0,133,74,47,0,0,239,0,0
"Moscow, ID",34140,2016,270,264,6,0,0,0,0,63,29,10,0,0,0,270,0
"Moses Lake, WA",34180,2016,361,338,23,0,0,0,0,66,45,24,0,0,0,361,0
"Mount Vernon, IL",34500,2016,285,197,88,0,0,0,0,100,63,42,0,0,159,126,0
"Mount Vernon, OH",34540,2016,213,175,38,0,0,0,0,100,64,41,0,0,213,0,0
"Mount Vernon-Anacortes, WA",34580,2016,366,331,35,0,0,0,0,80,50,34,0,0,213,153,0
"Muncie, IN",34620,2016,230,170,59,1,0,0,0,115,60,42,0,0,142,88,0
"Muscatine, IA",34700,2016,366,188,178,0,0,0,0,96,63,49,0,0,0,366,0
"Muskegon, MI",34740,2016,178,138,33,5,2,0,0,159,71,41,0,0,178,0,0
"Muskogee, OK",34780,2016,355,350,5,0,0,0,0,76,30,17,0,0,0,0,355
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",34820,2016,136,136,0,0,0,0,0,39,33,26,0,0,136,0,0
"Napa, CA",34900,2016,366,219,147,0,0,0,0,90,61,44,0,0,104,261,1
"Naples-Immokalee-Marco Island, FL",34940,2016,366,286,80,0,0,0,0,87,54,43,0,0,133,233,0
"Nashville-Davidson--Murfreesboro--Franklin, TN",34980,2016,366,144,216,6,0,0,0,126,66,53,0,8,86,272,0
"New Castle, IN",35220,2016,119,87,32,0,0,0,0,69,57,37,0,0,0,119,0
"New Castle, PA",35260,2016,355,326,28,1,0,0,0,112,49,33,0,0,355,0,0
"New Haven-Milford, CT",35300,2016,366,211,141,11,3,0,0,164,74,47,0,13,179,174,0
"New Orleans-Metairie, LA",35380,2016,366,142,220,4,0,0,0,126,64,52,0,1,89,276,0
"New York-Newark-Jersey City, NY-NJ-PA",35620,2016,366,80,256,28,2,0,0,161,97,58,0,15,112,238,1
"Niles-Benton Harbor, MI",35660,2016,242,166,65,11,0,0,0,140,80,43,0,0,167,75,0
"Nogales, AZ",35700,2016,363,193,169,0,0,1,0,209,65,48,0,0,0,316,47
"North Port-Sarasota-Bradenton, FL",35840,2016,366,221,145,0,0,0,0,97,59,47,0,0,107,259,0
"Norwich-New London, CT",35980,2016,357,282,65,9,1,0,0,154,61,38,0,0,167,190,0
"Ocala, FL",36100,2016,366,254,111,1,0,0,0,105,57,43,0,0,110,256,0
"Odessa, TX",36220,2016,365,290,74,1,0,0,0,102,56,36,0,0,0,365,0
"Ogden-Clearfield, UT",36260,2016,366,171,171,24,0,0,0,143,90,52,0,24,197,145,0
"Oklahoma City, OK",36420,2016,366,192,171,3,0,0,0,129,68,49,0,16,168,180,2
"Olympia-Tumwater, WA",36500,2016,349,308,41,0,0,0,0,91,52,31,0,0,108,241,0
"Omaha-Council Bluffs, NE-IA",36540,2016,366,180,184,2,0,0,0,130,64,51,0,0,103,236,27
"Orlando-Kissimmee-Sanford, FL",36740,2016,366,206,159,1,0,0,0,115,64,47,0,6,148,212,0
"Othello, WA",36830,2016,346,339,7,0,0,0,0,58,33,19,0,0,0,346,0
"Owensboro, KY",36980,2016,366,127,236,2,1,0,0,156,68,54,0,0,52,314,0
"Oxford, NC",37080,2016,213,179,34,0,0,0,0,97,61,41,0,0,213,0,0
"Oxnard-Thousand Oaks-Ventura, CA",37100,2016,366,120,237,9,0,0,0,147,84,56,0,0,138,224,4
"Paducah, KY-IL",37140,2016,366,151,214,1,0,0,0,115,65,53,0,0,48,318,0
"Pahrump, NV",37220,2016,366,349,15,1,0,0,1,343,35,15,0,0,0,0,366
"Palatka, FL",37260,2016,361,361,0,0,0,0,0,45,24,14,0,0,0,0,361
"Palm Bay-Melbourne-Titusville, FL",37340,2016,366,298,68,0,0,0,0,84,54,42,0,0,189,177,0
"Panama City, FL",37460,2016,366,279,87,0,0,0,0,87,56,43,0,0,146,220,0
"Parkersburg-Vienna, WV",37620,2016,265,185,79,1,0,0,0,112,63,43,0,0,185,80,0
"Payson, AZ",37740,2016,366,256,108,2,0,0,0,115,71,44,0,0,300,2,64
"Pensacola-Ferry Pass-Brent, FL",37860,2016,366,232,134,0,0,0,0,97,61,46,0,0,145,221,0
"Peoria, IL",37900,2016,366,206,158,2,0,0,0,108,62,48,0,0,118,248,0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,2016,366,47,301,16,2,0,0,154,87,61,0,2,91,267,6
"Phoenix-Mesa-Scottsdale, AZ",38060,2016,366,18,273,67,5,2,1,1348,115,75,0,5,101,104,156
"Pierre, SD",38180,2016,352,341,11,0,0,0,0,69,40,22,0,0,0,352,0
"Pittsburgh, PA",38300,2016,366,39,299,27,1,0,0,152,93,62,0,0,69,297,0
"Pittsfield, MA",38340,2016,355,259,96,0,0,0,0,82,58,36,0,0,0,355,0
"Platteville, WI",38420,2016,281,205,76,0,0,0,0,81,57,38,0,0,0,281,0
"Pocatello, ID",38540,2016,366,266,100,0,0,0,0,86,58,36,0,0,0,346,20
"Ponca City, OK",38620,2016,361,165,193,3,0,0,0,126,63,52,0,0,61,300,0
"Ponce, PR",38660,2016,364,330,34,0,0,0,0,74,49,26,7,0,0,111,246
"Port Angeles, WA",38820,2016,366,279,87,0,0,0,0,73,57,40,0,0,160,206,0
"Port St. Lucie, FL",38940,2016,366,281,85,0,0,0,0,93,56,42,0,0,159,207,0
"Portland-South Portland, ME",38860,2016,366,285,79,2,0,0,0,108,57,40,0,5,201,158,2
"Portland-Vancouver-Hillsboro, OR-WA",38900,2016,366,263,101,2,0,0,0,108,62,39,0,5,180,181,0
"Portsmouth, OH",39020,2016,366,321,44,1,0,0,0,129,52,15,0,0,0,122,244
"Prescott, AZ",39140,2016,349,299,50,0,0,0,0,90,54,40,0,0,343,6,0
"Price, UT",39220,2016,312,230,82,0,0,0,0,93,67,44,0,19,293,0,0
"Prineville, OR",39260,2016,348,261,86,1,0,0,0,115,62,26,0,0,0,348,0
"Providence-Warwick, RI-MA",39300,2016,366,177,183,5,1,0,0,151,68,51,0,8,105,253,0
"Provo-Orem, UT",39340,2016,366,189,158,17,2,0,0,166,87,50,0,37,200,125,4
"Pueblo, CO",39380,2016,128,121,7,0,0,0,0,64,44,26,0,0,0,102,26
"Pullman, WA",39420,2016,366,344,22,0,0,0,0,86,44,23,0,0,0,366,0
"Quincy, IL-MO",39500,2016,214,199,15,0,0,0,0,80,49,36,0,0,214,0,0
"Racine, WI",39540,2016,197,153,35,8,1,0,0,169,77,42,0,0,197,0,0
"Raleigh, NC",39580,2016,366,151,212,3,0,0,0,135,67,53,0,0,120,246,0
"Rapid City, SD",39660,2016,366,262,103,1,0,0,0,101,61,44,0,3,219,84,60
"Reading, PA",39740,2016,366,136,223,7,0,0,0,129,71,54,0,0,89,277,0
"Red Bluff, CA",39780,2016,366,218,106,37,5,0,0,174,108,45,0,0,307,58,1
"Red Wing, MN",39860,2016,214,202,12,0,0,0,0,87,47,34,0,0,214,0,0
"Redding, CA",39820,2016,366,296,56,14,0,0,0,140,74,41,0,0,358,8,0
"Reno, NV",39900,2016,366,203,156,7,0,0,0,108,77,49,0,11,257,92,6
"Richmond, VA",40060,2016,366,195,167,4,0,0,0,129,67,49,0,3,133,230,0
"Richmond-Berea, KY",40080,2016,97,68,29,0,0,0,0,91,57,39,0,0,0,97,0
"Riverside-San Bernardino-Ontario, CA",40140,2016,366,4,201,92,53,14,2,379,178,91,0,17,185,130,34
"Riverton, WY",40180,2016,366,298,68,0,0,0,0,84,61,44,0,0,324,42,0
"Roanoke, VA",40220,2016,366,264,102,0,0,0,0,100,57,41,1,12,103,250,0
"Rochester, MN",40340,2016,365,294,70,1,0,0,0,104,54,37,0,0,159,206,0
"Rochester, NY",40380,2016,366,246,118,2,0,0,0,136,62,44,0,1,173,192,0
"Rock Springs, WY",40540,2016,366,303,63,0,0,0,0,100,58,44,0,0,322,11,33
"Rockford, IL",40420,2016,354,300,51,3,0,0,0,105,56,36,0,0,288,66,0
"Rockland, ME",40500,2016,181,171,9,1,0,0,0,122,48,33,0,0,181,0,0
"Rocky Mount, NC",40580,2016,356,257,99,0,0,0,0,97,58,40,0,0,107,249,0
"Rome, GA",40660,2016,326,167,159,0,0,0,0,88,62,49,0,0,0,326,0
"Roseburg, OR",40700,2016,339,306,33,0,0,0,0,69,50,23,0,0,0,339,0
"Roswell, NM",40740,2016,117,113,4,0,0,0,0,90,39,22,0,0,0,117,0
"Ruidoso, NM",40760,2016,113,109,4,0,0,0,0,73,26,13,0,0,0,113,0
"Rutland, VT",40860,2016,366,290,76,0,0,0,0,89,58,38,0,7,195,164,0
"Sacramento--Roseville--Arden-Arcade, CA",40900,2016,366,86,221,44,15,0,0,172,114,61,0,0,194,172,0
"Salem, OH",41400,2016,61,61,0,0,0,0,0,36,24,15,0,0,0,0,61
"Salem, OR",41420,2016,361,304,57,0,0,0,0,97,56,33,0,0,143,218,0
"Salinas, CA",41500,2016,366,290,65,3,8,0,0,185,55,37,0,0,203,140,23
"Salisbury, MD-DE",41540,2016,366,259,104,3,0,0,0,129,61,43,0,0,249,117,0
"Salt Lake City, UT",41620,2016,366,156,182,23,5,0,0,166,92,54,0,9,232,123,2
"San Antonio-New Braunfels, TX",41700,2016,366,199,161,5,1,0,0,164,67,49,0,4,159,203,0
"San Diego-Carlsbad, CA",41740,2016,366,30,294,40,2,0,0,164,105,68,0,2,176,188,0
"San Francisco-Oakland-Hayward, CA",41860,2016,366,108,243,13,2,0,0,154,74,55,0,3,81,282,0
"San Jose-Sunnyvale-Santa Clara, CA",41940,2016,366,176,184,6,0,0,0,126,71,51,0,1,147,218,0
"San Juan-Carolina-Caguas, PR",41980,2016,366,242,111,8,3,2,0,225,62,38,69,8,71,173,45
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",42020,2016,366,140,217,8,1,0,0,156,84,55,0,0,206,143,17
"Sandpoint, ID",41760,2016,366,317,49,0,0,0,0,83,55,27,0,0,0,321,45
"Sanford, NC",41820,2016,363,194,169,0,0,0,0,100,61,48,0,0,131,232,0
"Santa Cruz-Watsonville, CA",42100,2016,366,306,60,0,0,0,0,76,54,35,0,0,162,204,0
"Santa Fe, NM",42140,2016,366,300,66,0,0,0,0,90,61,43,0,0,363,3,0
"Santa Maria-Santa Barbara, CA",42200,2016,366,191,163,9,2,0,1,313,69,50,0,0,172,166,28
"Santa Rosa, CA",42220,2016,366,323,43,0,0,0,0,87,51,34,0,0,265,99,2
"Sault Ste. Marie, MI",42300,2016,299,258,40,1,0,0,0,101,53,37,0,0,83,216,0
"Savannah, GA",42340,2016,365,234,128,3,0,0,0,143,59,44,0,0,61,304,0
"Sayre, PA",42380,2016,358,238,120,0,0,0,0,97,57,43,0,1,152,205,0
"Scottsbluff, NE",42420,2016,87,77,10,0,0,0,0,62,52,26,0,0,0,87,0
"Scranton--Wilkes-Barre--Hazleton, PA",42540,2016,366,234,128,4,0,0,0,129,66,45,0,0,181,185,0
"Seattle-Tacoma-Bellevue, WA",42660,2016,366,209,154,2,1,0,0,156,66,47,0,26,98,242,0
"Sebastian-Vero Beach, FL",42680,2016,340,316,24,0,0,0,0,84,48,39,0,0,340,0,0
"Sebring, FL",42700,2016,363,347,16,0,0,0,0,87,46,33,0,0,363,0,0
"Seneca, SC",42860,2016,349,276,71,2,0,0,0,133,56,43,0,0,243,106,0
"Sevierville, TN",42940,2016,358,297,58,3,0,0,0,112,58,44,0,0,358,0,0
"Seymour, IN",42980,2016,183,146,35,2,0,0,0,129,67,40,0,0,183,0,0
"Sheboygan, WI",43100,2016,203,166,25,10,2,0,0,164,67,39,0,0,203,0,0
"Shelton, WA",43220,2016,366,327,39,0,0,0,0,72,51,27,0,0,0,366,0
"Sheridan, WY",43260,2016,366,326,39,1,0,0,0,110,54,39,0,0,292,43,31
"Show Low, AZ",43320,2016,366,299,67,0,0,0,0,90,54,43,0,0,350,2,14
"Shreveport-Bossier City, LA",43340,2016,366,189,177,0,0,0,0,90,63,49,0,0,129,234,3
"Sierra Vista-Douglas, AZ",43420,2016,366,278,86,2,0,0,0,141,61,44,0,0,313,15,38
"Sioux City, IA-NE-SD",43580,2016,366,284,80,2,0,0,0,112,58,39,0,1,176,177,12
"Sioux Falls, SD",43620,2016,366,269,95,2,0,0,0,105,58,42,0,0,209,157,0
"Somerset, KY",43700,2016,278,224,54,0,0,0,0,90,56,41,0,0,194,84,0
"Somerset, PA",43740,2016,357,324,32,1,0,0,0,105,50,36,0,0,357,0,0
"Sonora, CA",43760,2016,354,223,86,38,7,0,0,164,108,44,0,0,354,0,0
"South Bend-Mishawaka, IN-MI",43780,2016,364,179,175,10,0,0,0,129,74,51,0,16,107,241,0
"Spartanburg, SC",43900,2016,351,161,188,2,0,0,0,126,64,52,0,0,83,268,0
"Spokane-Spokane Valley, WA",44060,2016,366,201,163,2,0,0,0,110,65,48,0,0,91,272,3
"Springfield, IL",44100,2016,364,304,59,1,0,0,0,105,57,36,0,0,301,63,0
"Springfield, MA",44140,2016,366,266,94,5,1,0,0,161,65,42,0,1,228,137,0
"Springfield, MO",44180,2016,366,262,104,0,0,0,0,71,57,42,0,0,135,230,1
